Date,Senator Name,Senator District,Contribution
10/17/25,Josh Becker (D),13,300
10/17/25,Maria Durazo (D),26,300
10/17/25,Dave Cortese (D),15,300
10/17/25,Monique Limon (D),21,300
10/17/25,Lena Gonzalez (D),33,300
10/17/25,Jerry McNerney (D),5,300
10/17/25,Kelly Seyarto (R),$32,$300
10/17/25,Weber Pierson (D),$39,$300
10/17/25,Tim Grayson (D),$9,$400
10/17/25,Thomas Umberg (D),$34,$600
10/17/25,Suzette Valladares (R),$23,$500
10/17/25,Megan Dahle (R),$1,$850
10/17/25,Shannon Grove (R),$12,$700
10/17/25,Sasha Perez (D),$25,"$1,000"
10/17/25,Benjamin Allen (D),$24,$850
10/17/25,Laura Richardson (D),$35,$700
11/7/25,Josh Becker (D),$13,$300
11/7/25,Maria Durazo (D),$26,$300
11/7/25,Dave Cortese (D),$15,$300
11/7/25,Monique Limon (D),$21,$300
11/7/25,Lena Gonzalez (D),$33,$300
11/7/25,Jerry McNerney (D),$5,$300
11/7/25,Kelly Seyarto (R),$32,$300
11/7/25,Weber Pierson (D),$39,$300
11/7/25,Tim Grayson (D),$9,$400
11/7/25,Thomas Umberg (D),$34,$600
11/7/25,Suzette Valladares (R),$23,$500
11/7/25,Megan Dahle (R),$1,$850
11/7/25,Shannon Grove (R),$12,$700
11/7/25,Sasha Perez (D),$25,"$1,000"
11/7/25,Benjamin Allen (D),$24,$850
11/7/25,Laura Richardson (D),$35,$700
11/21/25,Josh Becker (D),$13,$300
11/21/25,Maria Durazo (D),26,$300
11/21/25,Dave Cortese (D),$15,$300
11/21/25,Monique Limon (D),$21,$300
11/21/25,Lena Gonzalez (D),33,$300
11/21/25,Jerry McNerney (D),5,$300
11/21/25,Kelly Seyarto (R),$32,$300
11/21/25,Weber Pierson (D),$39,$300
11/21/25,Tim Grayson (D),$9,$400
11/21/25,Thomas Umberg (D),$34,$600
11/21/25,Suzette Valladares (R),$23,$500
11/21/25,Megan Dahle (R),$1,$850
11/21/25,Shannon Grove (R),$12,$700
11/21/25,Sasha Perez (D),$25,"$1,000"
11/21/25,Benjamin Allen (D),$24,$850
11/21/25,Laura Richardson (D),$35,$700
12/5/25,Josh Becker (D),$13,$300
12/5/25,Maria Durazo (D),26,$300
12/5/25,Dave Cortese (D),15,$300
12/5/25,Monique Limon (D),21,$300
12/5/25,Lena Gonzalez (D),$33,$300
12/5/25,Jerry McNerney (D),5,$300
12/5/25,Kelly Seyarto (R),$32,$300
12/5/25,Weber Pierson (D),$39,$300
12/5/25,Tim Grayson (D),$9,$400
12/5/25,Thomas Umberg (D),$34,$600
12/5/25,Suzette Valladares (R),$23,$500
12/5/25,Megan Dahle (R),$1,$850
12/5/25,Shannon Grove (R),$12,$700
12/5/25,Sasha Perez (D),$25,"$1,000"
12/5/25,Benjamin Allen (D),$24,$850
12/5/25,Laura Richardson (D),$35,$700
12/12/25,Josh Becker (D),$13,$300
12/12/25,Maria Durazo (D),$26,$300
12/12/25,Dave Cortese (D),$15,$300
12/12/25,Monique Limon (D),$21,$300
12/12/25,Lena Gonzalez (D),$33,$300
12/12/25,Jerry McNerney (D),$5,$300
12/12/25,Kelly Seyarto (R),$32,$300
12/12/25,Weber Pierson (D),$39,$300
12/12/25,Tim Grayson (D),$9,$400
12/12/25,Thomas Umberg (D),$34,$600
12/12/25,Suzette Valladares (R),$23,$500
12/12/25,Megan Dahle (R),$1,$850
12/12/25,Shannon Grove (R),$12,$700
12/12/25,Sasha Perez (D),$25,"$1,000"
12/12/25,Benjamin Allen (D),$24,$850
12/12/25,Laura Richardson (D),$35,$700
total,,,40000
