Date,Recipient Name,Recipient District,Contribution,Total
10/17/25,Josh Becker (D),13.00,300,"50,000"
10/17/25,Maria Durazo (D),26.00,300,
10/17/25,Dave Cortese (D),15.00,300,
10/17/25,Monique Limon (D),21.00,300,
10/17/25,Lena Gonzalez (D),33.00,300,
10/17/25,Jerry McNerney (D),5.00,300,
10/17/25,Kelly Seyarto (R),32.00,$300,
10/17/25,Weber Pierson (D),39.00,$300,
10/17/25,Tim Grayson (D),9.00,$400,
10/17/25,Thomas Umberg (D),34.00,$600,
10/17/25,Suzette Valladares (R),23.00,$500,
10/17/25,Megan Dahle (R),1.00,$850,
10/17/25,Shannon Grove (R),12.00,$700,
10/17/25,Sasha Perez (D),25.00,"$1,000",
10/17/25,Benjamin Allen (D),24.00,$850,
10/17/25,Laura Richardson (D),35.00,$700,
11/7/25,Josh Becker (D),13.00,$550,
11/7/25,Maria Durazo (D),26.00,$550,
11/7/25,Dave Cortese (D),15.00,$550,
11/7/25,Monique Limon (D),21.00,$550,
11/7/25,Lena Gonzalez (D),33.00,$550,
11/7/25,Jerry McNerney (D),5.00,$550,
11/7/25,Kelly Seyarto (R),32.00,$550,
11/7/25,Weber Pierson (D),39.00,$550,
11/7/25,Tim Grayson (D),9.00,$500,
11/7/25,Thomas Umberg (D),34.00,$450,
11/7/25,Suzette Valladares (R),23.00,$500,
11/7/25,Marie Alvarado-Gil (D),4.00,$650,
11/7/25,Steve Padilla (D),18.00,$650,
11/7/25,Caroline Menjivar (D),20.00,$650,
11/7/25,Steven Choi (R),37.00,"$1,350",
11/7/25,Laura Richardson (D),35.00,"$1,100",
11/7/25,Anna Cabellero (D),14.00,$650,
11/7/25,Megan Dahle (R),1.00,"$1,050",
11/7/25,Benjamin Allen (D),24.00,"$1,050",
11/7/25,Sasha Perez (D),25.00,"$1,000",
11/21/25,Josh Becker (D),13.00,$550,
11/21/25,Maria Durazo (D),26.00,$550,
11/21/25,Dave Cortese (D),15.00,$550,
11/21/25,Monique Limon (D),21.00,$550,
11/21/25,Lena Gonzalez (D),33.00,$550,
11/21/25,Jerry McNerney (D),5.00,$550,
11/21/25,Kelly Seyarto (R),32.00,$550,
11/21/25,Weber Pierson (D),39.00,$550,
11/21/25,Tim Grayson (D),9.00,$500,
11/21/25,Thomas Umberg (D),34.00,$450,
11/21/25,Suzette Valladares (R),23.00,$500,
11/21/25,Marie Alvarado-Gil (D),4.00,$650,
11/21/25,Steve Padilla (D),18.00,$650,
11/21/25,Caroline Menjivar (D),20.00,$650,
11/21/25,Steven Choi (R),37.00,"$1,350",
11/21/25,Laura Richardson (D),35.00,"$1,100",
11/21/25,Anna Cabellero (D),14.00,$650,
11/21/25,Megan Dahle (R),1.00,"$1,050",
11/21/25,Benjamin Allen (D),24.00,"$1,050",
11/21/25,Sasha Perez (D),25.00,"$1,000",
12/5/25,Josh Becker (D),13.00,$600,
12/5/25,Maria Durazo (D),26.00,$600,
12/5/25,Dave Cortese (D),15.00,$600,
12/5/25,Monique Limon (D),21.00,$600,
12/5/25,Lena Gonzalez (D),33.00,$600,
12/5/25,Jerry McNerney (D),5.00,$600,
12/5/25,Kelly Seyarto (R),32.00,$600,
12/5/25,Weber Pierson (D),39.00,$600,
12/5/25,Tim Grayson (D),9.00,$600,
12/5/25,Thomas Umberg (D),34.00,$500,
12/5/25,Suzette Valladares (R),23.00,$500,
12/5/25,Marie Alvarado-Gil (D),4.00,$700,
12/5/25,Steve Padilla (D),18.00,$700,
12/5/25,Caroline Menjivar (D),20.00,$700,
12/5/25,Steven Choi (R),37.00,"$1,300",
12/5/25,Laura Richardson (D),35.00,"$1,100",
12/5/25,Megan Dahle (R),1.00,"$1,050",
12/5/25,Benjamin Allen (D),24.00,"$1,050",
12/5/25,Sasha Perez (D),25.00,"$1,000",
