Date,Recipient Name,Recipient District,Contribution,Total
11/6/2025,Sasha Renee Perez,25,"3,000.00","50,000.00"
11/6/2025,Benjamin Allen,24,"3,000.00",
11/6/2025,Thomas Umberg,34,"1,500.00",
11/6/2025,John Laird,17,"1,500.00",
11/6/2025,Shannon Grove,12,250.00,
11/6/2025,Rosilicie Ochoa Bogh,19,500.00,
11/6/2025,Steve Padilla,18,"1,000.00",
11/22/2025,John Laird,17,500.00,
11/22/2025,Steve Padilla,18,500.00,
11/22/2025,Laura Richardson,35,"2,000.00",
11/22/2025,Scott Wiener,11,"1,000.00",
11/22/2025,Anna M.  Caballero,14,"1,000.00",
11/22/2025,Melissa Hurtado,16,"1,000.00",
11/22/2025,Jesse Arreguin,7,"1,000.00",
11/22/2025,Maria Elena Durazo,26,"1,000.00",
12/13/2025,Benjamin Allen,24,"1,000.00",
12/13/2025,Roger Niello,6,500.00,
12/13/2025,Tony Strickland,36,250.00,
12/13/2025,Marie Alverado Gil,4,500.00,
12/13/2025,Bob Archulerta,30,"1,000.00",
12/13/2025,Jesse Arreguin,7,"1,000.00",
12/13/2025,Angelique Ashby,8,"1,000.00",
12/13/2025,Josh Becker,13,"1,000.00",
12/13/2025,Catherine Blakespear,38,"1,000.00",
12/13/2025,Christopher Cabaldon,3,"1,000.00",
12/13/2025,Anna M.  Caballero,14,"1,000.00",
12/13/2025,Sabrina Cervantes,31,500.00,
12/13/2025,Maria Elena Durazo,26,"3,000.00",
12/13/2025,Lena Gonzalez,33,"1,500.00",
12/13/2025,Tim Grayson,9,"1,500.00",
12/13/2025,Melissa Hurtado,16,250.00,
12/13/2025,Mike McGuire,2,"2,000.00",
12/13/2025,Caroline Menjivar,20,"2,000.00",
12/13/2025,Steve Padilla,18,500.00,
12/13/2025,Sasha Renee Perez,25,"1,000.00",
12/13/2025,Eloise Gomez Reyes,29,250.00,
12/13/2025,Laura Richardson,35,"2,000.00",
12/13/2025,Susan Rubio,22,"2,000.00",
12/13/2025,Henry Stern,27,"1,000.00",
12/13/2025,Thomas Umberg,34,500.00,
12/13/2025,Akilah Weber Pierson,39,"2,000.00",
12/13/2025,Monique Limon,21,500.00,
12/13/2025,Megan Dahle,1,500.00,
12/13/2025,Dave Cortese,15,500.00,
12/13/2025,Steve Choi,37,500.00,
