Date,Recipient Name,Recipient District,Contribution,Total
12/5/25,Cabaldon (D),3,"2,000.00","25,000.00"
12/5/25,Dahle (R),1,"2,000.00",
12/5/25,Laird (D),17,"2,000.00",
12/5/25,Padilla (D),18,"1,000.00",
12/5/25,Perez (D),25,"2,500.00",
12/5/25,Pierson (D),39,"1,500.00",
12/5/25,Modesto Bee,,"3,400.00",
10/31/25,Padilla (D) ,18,2000,
10/31/25,Alvarado-Gil(R,4,600,
10/31/25,Stern (D) ,27,800,
10/31/25,McGuire (D),2,800,
10/31/25,Ochoa Bogh (R),19,800,
10/31/25,Niello (R),6,800,
10/31/25,Hurtado (D),16,800,
10/31/25,Perez (D),25,2000,
10/31/25,Dhale (R) ,1,2000,
