Date,Senator Name,Senator District,Contribution
11/21/25,Bob Archuleta (D),30,"$1,000"
11/21/25,Angelique V. Ashby (D),8,"$1,000"
11/21/25,Josh Becker (D),13,"$1,000"
11/21/25,Catherine Blakespear (D),38,"$1,000"
11/21/25,Christopher Cabaldon (D),3,"$1,000"
11/21/25,Sabrina Cervantes (D),31,"$1,000"
11/21/25,Steven Choi (R),37,"$2,000"
11/21/25,Dave Cortese (D),15,"$1,000"
11/21/25,María Elena Durazo (D),26,"$2,000"
11/21/25,Lena Gonzalez (D),33,"$1,500"
11/21/25,Tim Grayson (D),9,$750
11/21/25,Brian W. Jones (R),40,"$1,000"
11/21/25,Monique Limón (D),21,"$2,000"
11/21/25,Jerry McNerney (D),5,"$1,000"
11/21/25,Caroline Menjivar (D),20,"$2,250"
11/21/25,Laura Richardson (D),35,"$1,750"
11/21/25,Kelly Seyarto (R),32,"$1,750"
11/21/25,Lola Smallwood-Cuevas (D),28,"$1,750"
11/21/25,Tony Strickland (R),36,"$1,000"
11/21/25,Thomas Umberg (D),34,"$3,000"
11/21/25,Suzette Martinez Valladares (R),23,"$1,500"
11/21/25,Aisha Wahab (D),10,"$1,000"
11/21/25,Akilah Weber Pierson (D),39,"$1,500"
11/21/25,Scott D. Wiener (D),11,"$1,000"
11/21/25,Sasha Renee Perez (D),25,"$3,500"
11/21/25,Melissa Hurtado (D),16,"$1,750"
11/21/25,Marie Alvarado-Gil (D),4,$500
11/21/25,Roger Niello (R),6,$500
11/21/25,Steve Padilla (D),18,"$1,000"
11/21/25,Benjamin Allen (D),24,"$1,500"
11/21/25,Megan Dahle (R),1,"$1,250"
Total,,,"$43,750"
