Date,Recipient Name,Recipient District,Contribution,Total
12/17/25,"Dahle,Megan",1,"2,000","50,000"
12/17/25,"McGuire,Mike",2,"5,000",
12/17/25,"Alvarado-Gil, Marie",4,"5,000",
12/17/25,"McNerney, Jerry",5,500,
12/17/25,"Niello, Roger",6,500,
12/17/25,"Grayson, Tim",9,"1,000",
12/17/25,"Becker, Josh",13,"5,000",
12/17/25,"Cortese, Dave",15,500,
12/17/25,"Hurtado, Melissa",16,500,
12/17/25,"Padilla, Steve",18,"2,000",
12/17/25,"Ochoa Bogh, Rosilicie",19,500,
12/17/25,"Menjivar, Caroline",20,"2,000",
12/17/25,"Limon, Monique",21,500,
12/17/25,"Vallardes, Suzette Martines",23,"2,000",
12/17/25,"Allen, Benjamin",24,"5,000",
12/17/25,"Perez, Sasha Renee",25,"2,000",
12/17/25,"Durazo, Maria Elena",26,500,
12/17/25,"Stern, Henry",27,"1,000",
12/17/25,"Cervantes, Sabrina",31,"2,000",
12/17/25,"Seyarto, Kelly",32,500,
12/17/25,"Gonzalez, Lena",33,"2,500",
12/17/25,"Umberg, Thomas",34,"2,000",
12/17/25,"Richardson, Laura",35,"3,000",
12/17/25,"Choi, Steve",37,"4,000",
12/17/25,Weber Pierson Akilah,39,500,
